Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Unit Price,Extended Price
1,1,365-1182-ND ,OVLFR3C7 ,LED RED CLEAR 5MM T/H ,,0.22,$0.22
2,1,365-1190-ND ,OVLGY0C9B9 ,LED YELLOW CLEAR 5MM T/H ,,0.23,$0.23
3,1,296-26141-1-ND,MAX232IDR,IC TRANSCEIVER FULL 2/2 16SOIC,,0.93,$0.93
4,1,AE10921-ND,A-DF 09 A/KG-T2S,CONN D-SUB RCPT 9POS R/A SLDR,,0.78,$0.78
5,1,1727-2907-1-ND,"BAT85,113",DIODE SCHOTTKY 30V 200MA DO34,,0.45,$0.45
6,1,1175-1609-ND,3020-10-0100-00,CONN HEADER VERT 10POS 2.54MM,,0.61,$0.61
7,1,S5448-ND,PPTC121LGBN-RC,CONN HDR 12POS 0.1 TIN PCB R/A,,0.8,$0.80
8,5,1276-1029-1-ND,CL21B105KBFNNNE,CAP CER 1UF 50V X7R 0805,,0.11,$0.55
9,1,2223-DS05-127-2-06BK-SMT-CT-ND,DS05-127-2-06BK-SMT-TR,"DIP SWITCH, SPST, 1.27 PITCH, FL",,1.59,$1.59
,,,,,,subtotal,$5.72
